slug,title_tag,title_length,meta_description,desc_length,h1,h1_matches_title,canonical,published_date,modified_date,word_count,faqpage_schema,breadcrumb_schema,og_image,robots
articles/gaia-kimdir,"Gaia Kimdir? Yunan Mitolojisinde Toprak Ana, Evrenin İlk Tanrıçalarından Biri | Antik Bilge",84,"Gaia kimdir? Yunan mitolojisinde Toprak Ana, evrenin ilk tanrıçalarından biri, Titanların ve Olimpos tanrılarının atası olarak Gaia'nın kozmolojik rolü.",151,Gaia Kimdir? Yunan Mitolojisinde Toprak Ana Evrenin İlk Tanrıçalarından Biri,MATCH,https://antikbilge.com/articles/gaia-kimdir,2026-07-11,2026-07-11,14500,YES,YES,images/gaia-kapak.webp,"index, follow"
articles/gobeklitepe-nedir,"Göbekli Tepe Nedir? İnsanlık Tarihini Değiştiren 12.000 Yıllık Keşif | Antik Bilge",83,"Göbekli Tepe Nedir? Piramitlerden 7.000 yıl önce inşa edilen tapınak tarihi nasıl yeniden yazdı? Arkeolojik keşifler, T-sütunlar ve inşaatçıların kimliği.",153,Göbekli Tepe Nedir? İnsanlık Tarihini Değiştiren 12.000 Yıllık Keşif,MATCH,https://antikbilge.com/articles/gobeklitepe-nedir,2026-02-13,2026-02-13,3500,YES,YES,images/gobeklitepe-genel.webp,"index, follow"
articles/hades-kimdir,"Hades Kimdir? Yunan Mitolojisinde Yeraltı Dünyasının Korkulan Hükümdarı | Antik Bilge",81,"Hades kimdir? Yunan mitolojisinde yeraltı dünyasının hükümdarı neden kötü değildir? Elysium, Tartarus, Kerberos ve Hades'in nadiren anlatılan hikâyesi.",150,Hades Kimdir? Yunan Mitolojisinde Yeraltı Dünyasının Korkulan Hükümdarı,MATCH,https://antikbilge.com/articles/hades-kimdir,2026-06-17,2026-06-17,5200,YES,YES,images/hades-kapak.webp,"index, follow"
articles/hathor-kimdir,"Hathor Kimdir? Antik Mısır'ın Aşk, Müzik, Neşe ve Gökyüzü Tanrıçası | Antik Bilge",83,"Hathor kimdir? Antik Mısır'ın aşk, müzik, neşe, annelik ve gökyüzü tanrıçası Hathor'un sembolleri, Ra ile bağlantısı ve kutsal merkezleri.",140,Hathor Kimdir? Antik Mısır'ın Aşk Müzik Neşe ve Gökyüzü Tanrıçası,MATCH,https://antikbilge.com/articles/hathor-kimdir,2026-06-10,2026-07-21,6631,YES,YES,images/hathor.webp,"index, follow"
articles/hera-kimdir,"Hera Kimdir? Yunan Mitolojisinin Evlilik, Kraliçelik ve Aile Tanrıçası | Antik Bilge",81,"Hera kimdir? Yunan mitolojisinin evlilik ve kraliçelik tanrıçasının doğumu, Zeus ile ilişkisi, öfkeli eylemleri ve Olimpos'taki gerçek gücü.",147,Hera Kimdir? Yunan Mitolojisinin Evlilik Kraliçelik ve Aile Tanrıçası,MATCH,https://antikbilge.com/articles/hera-kimdir,2026-07-06,2026-07-06,10800,YES,YES,images/hera-kapak.webp,"index, follow"
articles/herakles-12-gorevi,"Herakles'in 12 Görevi: Yunan Mitolojisinin En Büyük Arınma Yolculuğu | Antik Bilge",83,"Herakles'in 12 Görevi nelerdir? Nemea Aslanı, Lerna Hydra'sı, Kerberos ve diğer görevlerin tam listesi, antik kaynakları ve gerçek anlamları.",145,Herakles'in 12 Görevi: Yunan Mitolojisinin En Büyük Arınma Yolculuğu,MATCH,https://antikbilge.com/articles/herakles-12-gorevi,2026-06-25,2026-06-25,6200,YES,YES,images/herakles-12-gorevi-kapak.webp,"index, follow"
articles/herakles-kimdir,"Herakles Kimdir? Yunan Mitolojisinin En Güçlü Kahramanı ve 12 Görevinin Gerçek Anlamı | Antik Bilge",96,"Herakles kimdir? Zeus'un oğlu, 12 Görev, Hera'nın öfkesi, Nemea Aslanı, Hydra, Kerberos ve ölümsüzlüğe yükselişi. Antik kaynaklar ve modern yorumlar.",153,Herakles Kimdir? Yunan Mitolojisinin En Güçlü Kahramanı ve 12 Görevinin Gerçek Anlamı,MATCH,https://antikbilge.com/articles/herakles-kimdir,2026-06-25,2026-06-25,5200,YES,YES,images/herakles-kapak.webp,"index, follow"
articles/hermes-kimdir,"Hermes Kimdir? Yunan Mitolojisinin Haberci, Yolcu ve Sınır Tanrısı | Antik Bilge",82,"Hermes kimdir? Yunan mitolojisinin haberci, yolcu ve sınır tanrısının karakteri, kaduceus sembolü, ruhları rehberleme görevi ve daha karanlık yönleri.",153,Hermes Kimdir? Yunan Mitolojisinin Haberci Yolcu ve Sınır Tanrısı,MATCH,https://antikbilge.com/articles/hermes-kimdir,2026-07-09,2026-07-09,12000,YES,YES,images/hermes-kapak.webp,"index, follow"
articles/horus-kimdir,"Horus Kimdir? Antik Mısır'ın Şahin Başlı Tanrısı | Antik Bilge",60,"Horus Kimdir? Antik Mısır'ın şahin başlı tanrısı Horus'un hikayesi, Horus'un Gözü sembolü, Set ile mücadelesi ve firavunlarla ilişkisi.",133,Horus Kimdir? Antik Mısır'ın Şahin Başlı Tanrısı Horus'un Gözü ve Set ile Mücadelesi,MISMATCH,https://antikbilge.com/articles/horus-kimdir,2026-06-09,2026-06-09,3500,YES,YES,images/horus-kimdir.webp,"index, follow"
articles/ikarus-efsanesi,"İkarus Efsanesi: Güneş'e Çok Yaklaştığı İçin mi Düştü? | Antik Bilge",62,"İkarus efsanesi: Daidalos'un kanatları, Girit'ten kaçış ve Güneş'e yaklaşmanın bedeli. Ovidius ve Pseudo-Apollodoros kaynaklarıyla tam anlatım.",143,İkarus Efsanesi: Güneş'e Çok Yaklaştığı İçin mi Düştü?,MATCH,https://antikbilge.com/articles/ikarus-efsanesi,2026-06-25,2026-06-25,4800,YES,YES,images/ikarus-kapak.webp,"index, follow"
articles/isis-kimdir,"İsis Kimdir? Antik Mısır'ın Büyü, Annelik ve Koruyucu Tanrıçası | Antik Bilge",77,"İsis Kimdir? Antik Mısır'ın büyü, annelik ve koruyucu tanrıçası İsis'in kökeni, Osiris'i diriltme hikayesi, Horus'un annesi olarak rolü.",135,İsis Kimdir? Antik Mısır'ın Büyü Annelik ve Koruyucu Tanrıçası,MATCH,https://antikbilge.com/articles/isis-kimdir,2026-06-10,2026-06-10,3500,YES,YES,images/isis-kimdir.webp,"index, follow"
articles/ismini-hukumdarlardan-alan-sehirler,"İsmini Hükümdarlardan Alan Şehirler: Antalya'dan Alanya'ya Anadolu'nun Yaşayan Tarihi | Antik Bilge",97,"Antalya, Bursa, Edirne, Kayseri ve Alanya hangi hükümdarların adını taşıyor? Türkiye'deki antik şehir isimlerinin tarihi ve kökenlerinin tam rehberi.",151,İsmini Hükümdarlardan Alan Şehirler: Antalya'dan Alanya'ya Anadolu'nun Yaşayan Tarihi,MATCH,https://antikbilge.com/articles/ismini-hukumdarlardan-alan-sehirler,2026-06-11,2026-06-11,4200,YES,YES,images/hukumdar-sehirler.webp,"index, follow"
articles/kronos-kimdir,"Kronos Kimdir? Yunan Mitolojisinde Titanların Hükümdarı ve Olimpos Tanrılarının Babası | Antik Bilge",91,"Kronos kimdir? Yunan mitolojisinde Titanların hükümdarı, Zeus'un babası ve Altın Çağ'ın yöneticisi Kronos'un çocuklarını yutması ve Zeus'un intikamı.",155,Kronos Kimdir? Yunan Mitolojisinde Titanların Hükümdarı ve Olimpos Tanrılarının Babası,MATCH,https://antikbilge.com/articles/kronos-kimdir,2026-07-10,2026-07-10,14000,YES,YES,images/kronos-kapak.webp,"index, follow"
articles/maat-kimdir,"Maat Kimdir? Antik Mısır'da Adalet, Hakikat ve Kozmik Düzenin Tanrıçası | Antik Bilge",81,"Maat Kimdir? Antik Mısır'da adalet, hakikat ve kozmik düzenin tanrıçası Maat'ın kökeni, devekuşu tüyü sembolü ve kalbin tartılması törenindeki rolü.",150,Maat Kimdir? Antik Mısır'da Adalet Hakikat ve Kozmik Düzenin Tanrıçası,MATCH,https://antikbilge.com/articles/maat-kimdir,2026-06-15,2026-06-15,4200,YES,YES,images/maat-kapak.webp,"index, follow"
articles/medusa-kimdir,"Medusa Kimdir? Yunan Mitolojisinin En Ünlü Gorgonu ve Efsanesi | Antik Bilge",73,"Medusa kimdir? Yılan saçları ve taşa çeviren bakışlarıyla Yunan mitolojisinin en ünlü Gorgonu, Perseus ile savaşı ve Ovidius'un anlattığı dönüşüm hikâyesi.",157,Medusa Kimdir? Yunan Mitolojisinin En Ünlü Gorgonu Nasıl Bir Efsaneye Dönüştü?,MISMATCH,https://antikbilge.com/articles/medusa-kimdir,2026-06-16,2026-06-16,4800,YES,YES,images/medusa-kapak.webp,"index, follow"
articles/minotor-efsanesi,"Minotor Efsanesi: Labirentte Yaşayan Yarı İnsan Yarı Boğa Gerçekten Kimdi? | Antik Bilge",85,"Minotor Efsanesi: Labirentte yaşayan yarı insan yarı boğa kimdi? Theseus, Ariadne'nin ipi ve Girit medeniyetinin bu mitolojik hikâyeye katkısı.",144,Minotor Efsanesi: Labirentte Yaşayan Yarı İnsan Yarı Boğa Gerçekten Kimdi?,MATCH,https://antikbilge.com/articles/minotor-efsanesi,2026-06-25,2026-06-25,4800,YES,YES,images/minotor-kapak.webp,"index, follow"
articles/misir-piramitleri-nasil-insa-edildi,"Mısır Piramitleri Gerçekten Nasıl İnşa Edildi? Antik Dünyanın En Büyük Mühendislik Gizemi | Antik Bilge",100,"Mısır Piramitleri Gerçekten Nasıl İnşa Edildi? Keops Piramidi, taş blokların taşınması, işçi organizasyonu ve uzaylı teorisinin neden çöktüğü.",142,Mısır Piramitleri Gerçekten Nasıl İnşa Edildi? Antik Dünyanın En Büyük Mühendislik Gizemi,MATCH,https://antikbilge.com/articles/misir-piramitleri-nasil-insa-edildi,2026-06-01,2026-06-01,6500,YES,YES,images/misir-piramitleri.webp,"index, follow"
articles/odysseia-destani-nedir,"Odysseia Destanı Nedir? Homeros'un Ölümsüz Eseri, Konusu, Özeti ve Derin Anlamı | Antik Bilge",87,"Odysseia Destanı nedir? Homeros'un ölümsüz eseri, konusu, özeti, temaları ve dünya edebiyatına etkisi. Odysseus'un 10 yıllık dönüş yolculuğu.",132,Odysseia Destanı Nedir? Homeros'un Ölümsüz Eseri Konusu Özeti ve Derin Anlamı,MATCH,https://antikbilge.com/articles/odysseia-destani-nedir,2026-07-05,2026-07-05,7000,YES,YES,images/odysseia-kapak.webp,"index, follow"
articles/odysseia-filmi-2026,"The Odyssey (2026): Konusu, Oyuncuları, Gerçek Hikâyesi ve Homeros'un Odysseia Destanı'na Ne Kadar Sadık? | Antik Bilge",108,"The Odyssey (2026): Christopher Nolan'ın The Odyssey filminin konusu, oyuncu kadrosu, vizyon tarihi ve mitolojik kaynağa sadakatinin analizi.",138,The Odyssey (2026): Konusu Oyuncuları Gerçek Hikâyesi ve Homeros'un Odysseia Destanı'na Ne Kadar Sadık?,MATCH,https://antikbilge.com/articles/odysseia-filmi-2026,2026-07-18,2026-07-18,7000,YES,YES,images/odysseia-filmi-kapak.webp,"index, follow"
articles/odysseus-kimdir,"Odysseus Kimdir? İthaka Kralının Zekâ, Sabır ve Eve Dönüşle Örülü Destansı Hikâyesi | Antik Bilge",88,"Odysseus kimdir? İthaka Kralı'nın zekâ, sabır ve eve dönüşle örülü destansı hikâyesi, Troya'daki rolü, 10 yıllık yolculuğu ve karakterinin çelişkili yönleri.",162,Odysseus Kimdir? İthaka Kralının Zekâ Sabır ve Eve Dönüşle Örülü Destansı Hikâyesi,MATCH,https://antikbilge.com/articles/odysseus-kimdir,2026-07-04,2026-07-04,8000,YES,YES,images/odysseus-kapak.webp,"index, follow"
articles/olimpos-tanrilari,"Olimpos Tanrıları Kimlerdir? 12 Olimposlu, Titanlar ve Antik Yunan'ın İlahi Düzeni | Antik Bilge",91,"Olimpos Tanrıları: 12 Olimposlu'nun tam listesi, Zeus'un Titanları nasıl devirdiği, Olimpos'ta kimin oturduğu ve her tanrının temel özellikleri.",143,Olimpos Tanrıları Kimlerdir? 12 Olimposlu Titanlar ve Antik Yunan'ın İlahi Düzeni,MATCH,https://antikbilge.com/articles/olimpos-tanrilari,2026-02-15,2026-02-15,4500,YES,YES,images/olimpos-tanrilari-meclisi.webp,"index, follow"
articles/oluler-kitabi-nedir,"Antik Mısır Ölüler Kitabı Nedir? İçeriği, Büyüleri ve Sırları | Antik Bilge",75,"Antik Mısır Ölüler Kitabı Nedir? İçeriği, büyüleri, Kalbin Tartılması sahnesi ve Mısır ölüm sonrası inancındaki merkezi rolü.",127,Antik Mısır Ölüler Kitabı Nedir? İçeriği Büyüleri ve Sırları,MATCH,https://antikbilge.com/articles/oluler-kitabi-nedir,2026-06-09,2026-06-09,3600,YES,YES,images/oluler-kitabi-kapak.webp,"index, follow"
articles/olumden-sonraki-yasam-inanci,"Antik Mısır'da Ölümden Sonraki Yaşam İnancı: Ruhun Yolculuğu ve Sonsuz Yaşam | Antik Bilge",88,"Antik Mısır'da ölümden sonra ne oluyordu? Kalbin tüyle tartılması, Ammit canavarı, Ka ve Ba ruhları ile Mısır'ın öte dünya inancının eksiksiz anlatımı.",153,Antik Mısır'da Ölümden Sonraki Yaşam İnancı: Ruhun Yolculuğu Yargılanması ve Sonsuz Yaşam,MISMATCH,https://antikbilge.com/articles/olumden-sonraki-yasam-inanci,2026-06-09,2026-06-09,4200,YES,YES,images/olumden-sonraki-yasam.webp,"index, follow"
articles/osiris-kimdir,"Osiris Kimdir? Antik Mısır'ın Ölümden Sonraki Yaşam Tanrısı | Antik Bilge",72,"Osiris kimdir? Set tarafından öldürülmesi, İsis'in arayışı, yeniden doğuş ve Horus ile ilişkisi. Antik Mısır'ın en önemli tanrısının tam hikâyesi.",150,Osiris Kimdir? Antik Mısır'ın Ölümden Sonraki Yaşam Tanrısı,MATCH,https://antikbilge.com/articles/osiris-kimdir,2026-06-09,2026-06-09,3800,YES,YES,images/osiris-kapak.webp,"index, follow"
articles/pandoras-kutusu-nedir,"Pandora'nın Kutusu Nedir? Yunan Mitolojisinde İnsanlığa Kalan Son Şey Neden Umuttu? | Antik Bilge",93,"Pandora'nın Kutusu nedir? Yunan mitolojisinde ilk kadın Pandora'nın hikâyesi, kutuyu açmasının nedeni ve umudun neden en sona kaldığının cevabı.",148,Pandora'nın Kutusu Nedir? Yunan Mitolojisinde İnsanlığa Kalan Son Şey Neden Umuttu?,MATCH,https://antikbilge.com/articles/pandoras-kutusu-nedir,2026-06-18,2026-06-18,5000,YES,YES,images/pandoras-kutusu.webp,"index, follow"
articles/pegasus-kimdir,"Pegasus Kimdir? Kanatlı Atın Doğuşu ve Yunan Mitolojisindeki Gerçek Hikâyesi | Antik Bilge",85,"Pegasus kimdir? Kanatlı atın Medusa'dan doğuşu, Bellerophon ile Khimaira savaşı ve Zeus'un yıldırımlarını taşıyıcısı olarak mitolojik rolü.",140,Pegasus Kimdir? Kanatlı Atın Doğuşu ve Yunan Mitolojisindeki Gerçek Hikâyesi,MATCH,https://antikbilge.com/articles/pegasus-kimdir,2026-06-17,2026-06-17,4200,YES,YES,images/pegasus-kapak.webp,"index, follow"
articles/persephone-kacirilis,"Persephone'nin Kaçırılması: Yunan Mitolojisinde Yeraltı Dünyasına İniş ve Mevsimlerin Doğuşu | Antik Bilge",99,"Persephone'nin kaçırılması: Yunan mitolojisinde Hades'in Persephone'yi yeraltı dünyasına götürmesi, nar taneleri ve mevsimlerin mitolojik kökeni.",148,Persephone'nin Kaçırılması: Yunan Mitolojisinde Yeraltı Dünyasına İniş ve Mevsimlerin Doğuşu,MATCH,https://antikbilge.com/articles/persephone-kacirilis,2026-06-18,2026-06-18,4800,YES,YES,images/persephone-kacirilis.webp,"index, follow"
articles/perseus-kimdir,"Perseus Kimdir? Medusa'yı Öldüren Kahramanın Mitolojik Hikâyesi ve Gerçek Anlamı | Antik Bilge",88,"Perseus kimdir? Medusa'yı öldüren Yunan mitolojisinin en eski kahramanının doğuşu, Andromeda'yı kurtarması ve Argos hanedanını kurması.",132,Perseus Kimdir? Medusa'yı Öldüren Kahramanın Mitolojik Hikâyesi Soyu ve Gerçek Anlamı,MISMATCH,https://antikbilge.com/articles/perseus-kimdir,2026-07-05,2026-07-05,9800,YES,YES,images/perseus-kapak.webp,"index, follow"
articles/perseus-medusayi-nasil-oldurdu,"Perseus Medusa'yı Nasıl Öldürdü? Yunan Mitolojisinin En İmkânsız Görevi | Antik Bilge",82,"Perseus Medusa'yı nasıl öldürdü? Graialar, nimfler, Athena'nın kalkanı ve yansıma tekniği. Antik kaynaklar ve arkeolojik kanıtlarla tam anlatım.",143,Perseus Medusa'yı Nasıl Öldürdü? Yunan Mitolojisinin En İmkânsız Görevi,MATCH,https://antikbilge.com/articles/perseus-medusayi-nasil-oldurdu,2026-06-16,2026-06-16,3800,YES,YES,images/perseus-medusa-kapak.webp,"index, follow"
articles/poseidon-kimdir,"Poseidon Kimdir? Denizlerin, Depremlerin ve Fırtınaların Güçlü Tanrısı | Antik Bilge",79,"Poseidon Kimdir? Denizlerin ve depremlerin tanrısı Zeus'tan neden daha güçlü sayılıyordu? Trident, atlar ve Poseidon'un mitolojideki gerçek gücü.",143,Poseidon Kimdir? Denizlerin Depremlerin ve Fırtınaların Güçlü Tanrısı,MATCH,https://antikbilge.com/articles/poseidon-kimdir,2026-06-17,2026-06-17,5100,YES,YES,images/poseidon-kimdir.webp,"index, follow"
articles/prometheus-kimdir,"Prometheus Kimdir? İnsanlara Ateşi Veren Titanın Hikâyesi ve Zeus'un Cezası | Antik Bilge",82,"Prometheus kimdir? İnsanlara ateşi veren Titan'ın hikâyesi, Zeus'un cezası, Kafkas Dağı'ndaki zincirler ve Herakles'in kurtuluşu. Antik kaynaklarla tam anlatım.",162,Prometheus Kimdir? İnsanlara Ateşi Veren Titanın Hikâyesi ve Zeus'un Cezası,MATCH,https://antikbilge.com/articles/prometheus-kimdir,2026-07-19,2026-07-19,11000,YES,YES,images/prometheus-kimdir-kapak.webp,"index, follow"
articles/prometheusun-cezasi,"Prometheus'un Cezası: Zeus Prometheus'u Neden Cezalandırdı? | Antik Bilge",71,"Prometheus'un cezası neydi? Zeus, Prometheus'u neden zincire vurdu? Kafkas Dağı'ndaki kartal işkencesi, Herakles'in kurtuluşu ve Pandora'nın yaratılması. Antik Yunan kaynaklarıyla tam anlatım.",190,Prometheus'un Cezası: Zeus Prometheus'u Neden Cezalandırdı?,MATCH,https://antikbilge.com/articles/prometheusun-cezasi,2026-08-26,2026-08-26,8809,YES,YES,images/prometheusun-cezasi-kapak.webp,"index, follow"
articles/ra-kimdir,"Ra Kimdir? Antik Mısır'ın Güneş Tanrısı ve Tanrıların Kralı | Antik Bilge",67,"Ra Kimdir? Antik Mısır'ın güneş tanrısı ve tanrıların kralı Ra'nın hikayesi, gündüz ve gece yolculuğu, Amun-Ra birleşmesi ve güneş kültünün kökleri.",152,Ra Kimdir? Antik Mısır'ın Güneş Tanrısı ve Tanrıların Kralı,MATCH,https://antikbilge.com/articles/ra-kimdir,2026-06-09,2026-06-09,4200,YES,YES,images/ra.webp,"index, follow"
